# depth buffer 320x240, 2 bytes per value, shared origin 4505600
# shape 3  background -1
# vertex 0  160 40  objz -0.9989318685  wantcode 65500.0000
# vertex 1  168 48  objz 0.9938963912  wantcode 200.0000
# vertex 2  150 200  objz 0.0844586862  wantcode 30000.0000
# counters drawn=1 software=0 unsupported=0 declined=0
# mode hardware
P 154 131 65535 1
P 155 131 65535 1
P 156 131 65535 1
P 157 131 65535 1
P 154 132 65535 1
P 155 132 65535 1
P 156 132 65535 1
P 157 132 65535 1
P 154 133 65535 1
P 155 133 65535 1
P 156 133 65535 1
P 157 133 65535 1
P 154 134 65535 1
P 155 134 65535 1
P 156 134 65535 1
P 157 134 65535 1
P 154 135 65535 1
P 155 135 65535 1
P 156 135 65535 1
P 157 135 65535 1
P 154 136 65535 1
P 155 136 65535 1
P 156 136 65535 1
P 157 136 65535 1
P 154 137 65535 1
P 155 137 65535 1
P 156 137 65535 1
P 154 138 65535 1
P 155 138 65535 1
P 156 138 65535 1
P 154 139 65535 1
P 155 139 65535 1
P 156 139 65535 1
P 154 140 65535 1
P 155 140 65535 1
P 156 140 65535 1
P 154 141 65535 1
P 155 141 65535 1
P 156 141 65535 1
P 154 142 65535 1
P 155 142 65535 1
P 156 142 65535 1
P 154 143 65535 1
P 155 143 65535 1
P 156 143 65535 1
P 153 144 65535 1
P 154 144 65535 1
P 155 144 65535 1
P 156 144 65535 1
P 153 145 65535 1
P 154 145 65535 1
P 155 145 65535 1
P 153 146 65535 1
P 154 146 65535 1
P 155 146 65535 1
P 153 147 65535 1
P 154 147 65535 1
P 155 147 65535 1
P 153 148 65535 1
P 154 148 65535 1
P 155 148 65535 1
P 153 149 65535 1
P 154 149 65535 1
P 155 149 65535 1
P 153 150 65535 1
P 154 150 65535 1
P 155 150 65535 1
P 153 151 65535 1
P 154 151 65535 1
P 155 151 65535 1
P 153 152 65535 1
P 154 152 65535 1
P 155 152 65535 1
P 153 153 65535 1
P 154 153 65535 1
P 155 153 65535 1
P 153 154 65535 1
P 154 154 65535 1
P 153 155 65535 1
P 154 155 65535 1
P 153 156 65535 1
P 154 156 65535 1
P 153 157 65535 1
P 154 157 65535 1
P 153 158 65535 1
P 154 158 65535 1
P 153 159 65535 1
P 154 159 65535 1
P 152 160 65535 1
P 153 160 65535 1
P 154 160 65535 1
P 152 161 65535 1
P 153 161 65535 1
P 154 161 65535 1
P 152 162 65535 1
P 153 162 65535 1
P 152 163 65535 1
P 153 163 65535 1
P 152 164 65535 1
P 153 164 65535 1
P 152 165 65535 1
P 153 165 65535 1
P 152 166 65535 1
P 153 166 65535 1
P 152 167 65535 1
P 153 167 65535 1
P 152 168 65535 1
P 153 168 65535 1
P 152 169 65535 1
P 153 169 65535 1
P 152 170 65535 1
P 152 171 65535 1
P 152 172 65535 1
P 152 173 65535 1
P 152 174 65535 1
P 152 175 65535 1
P 151 176 65535 1
P 152 176 65535 1
P 151 177 65535 1
P 152 177 65535 1
P 151 178 65535 1
P 152 178 65535 1
P 151 179 65535 1
P 151 180 65535 1
P 151 181 65535 1
P 151 182 65535 1
P 151 183 65535 1
P 151 184 65535 1
P 151 185 65535 1
P 151 186 65535 1
P 150 192 65535 1
P 150 193 65535 1
P 150 194 65535 1
P 150 195 65535 1
