# shape B mode zplane ntri 2
# select hard 1 soft 0
# v0 40.2890625 40.2890625
# v1 200.2890625 40.2890625
# v2 200.2890625 180.2890625
# v3 40.2890625 180.2890625
# t0 0 1 2
# t1 0 2 3
# counters drawn=2 software=0 declined=0 warp=0
# mode hardware
# depth starts clamped: 0
Z 70 45 26082
Z 71 45 26142
Z 72 45 26202
Z 73 45 26263
Z 74 45 26323
Z 75 45 26383
Z 76 45 26444
Z 77 45 26504
Z 78 45 26565
Z 79 45 26625
Z 80 45 26685
Z 81 45 26746
Z 82 45 26806
Z 83 45 26866
Z 84 45 26927
Z 85 45 26987
Z 86 45 27048
Z 87 45 27108
Z 88 45 27168
Z 89 45 27229
Z 90 45 27289
Z 91 45 27349
Z 92 45 27410
Z 93 45 27470
Z 94 45 27530
Z 95 45 27591
Z 96 45 27651
Z 97 45 27712
Z 98 45 27772
Z 99 45 27832
Z 100 45 27893
Z 101 45 27953
Z 102 45 28013
Z 103 45 28074
Z 104 45 28134
Z 105 45 28195
Z 106 45 28255
Z 107 45 28315
Z 108 45 28376
Z 109 45 28436
Z 110 45 28496
Z 111 45 28557
Z 112 45 28617
Z 113 45 28678
Z 114 45 28738
Z 115 45 28798
Z 116 45 28859
Z 117 45 28919
Z 118 45 28979
Z 119 45 29040
Z 120 45 29100
Z 121 45 29160
Z 122 45 29221
Z 123 45 29281
Z 124 45 29342
Z 125 45 29402
Z 126 45 29462
Z 127 45 29523
Z 128 45 29583
Z 129 45 29643
Z 130 45 29704
Z 131 45 29764
Z 132 45 29825
Z 133 45 29885
Z 134 45 29945
Z 135 45 30006
Z 136 45 30066
Z 137 45 30126
Z 138 45 30187
Z 139 45 30247
Z 140 45 30307
Z 141 45 30368
Z 142 45 30428
Z 143 45 30489
Z 144 45 30549
Z 145 45 30609
Z 146 45 30670
Z 147 45 30730
Z 148 45 30790
Z 149 45 30851
Z 150 45 30911
Z 151 45 30972
Z 152 45 31032
Z 153 45 31092
Z 154 45 31153
Z 155 45 31213
Z 156 45 31273
Z 157 45 31334
Z 158 45 31394
Z 159 45 31455
Z 160 45 31515
Z 161 45 31575
Z 162 45 31636
Z 163 45 31696
Z 164 45 31756
Z 165 45 31817
Z 166 45 31877
Z 167 45 31937
Z 168 45 31998
Z 169 45 32058
Z 170 45 32119
Z 171 45 32179
Z 172 45 32239
Z 173 45 32300
Z 174 45 32360
Z 175 45 32420
Z 176 45 32481
Z 177 45 32541
Z 178 45 32602
Z 179 45 32662
Z 180 45 32722
Z 181 45 32783
Z 182 45 32843
Z 183 45 32903
Z 184 45 32964
Z 185 45 33024
Z 186 45 33085
Z 187 45 33145
Z 188 45 33205
Z 189 45 33266
Z 190 45 33326
Z 191 45 33386
Z 192 45 33447
Z 193 45 33507
Z 194 45 33567
Z 195 45 33628
Z 196 45 33688
Z 197 45 33749
Z 198 45 33809
Z 199 45 33869
Z 40 46 24311
Z 41 46 24371
Z 42 46 24431
Z 43 46 24492
Z 44 46 24552
Z 45 46 24612
Z 46 46 24673
Z 47 46 24733
Z 48 46 24794
Z 49 46 24854
Z 50 46 24914
Z 51 46 24975
Z 52 46 25035
Z 53 46 25095
Z 54 46 25156
Z 55 46 25216
Z 56 46 25277
Z 57 46 25337
Z 58 46 25397
Z 59 46 25458
Z 60 46 25518
Z 61 46 25578
Z 62 46 25639
Z 63 46 25699
Z 64 46 25759
Z 65 46 25820
Z 66 46 25880
Z 67 46 25941
Z 68 46 26001
Z 69 46 26061
Z 70 46 26122
Z 71 46 26182
Z 72 46 26242
Z 73 46 26303
Z 74 46 26363
Z 75 46 26424
Z 76 46 26484
Z 77 46 26544
Z 78 46 26605
Z 79 46 26665
Z 80 46 26725
Z 81 46 26786
Z 82 46 26846
Z 83 46 26907
Z 84 46 26967
Z 85 46 27027
Z 86 46 27088
Z 87 46 27148
Z 88 46 27208
Z 89 46 27269
Z 90 46 27329
Z 91 46 27389
Z 92 46 27450
Z 93 46 27510
Z 94 46 27571
Z 95 46 27631
Z 96 46 27691
Z 97 46 27752
Z 98 46 27812
Z 99 46 27872
Z 100 46 27933
Z 101 46 27993
Z 102 46 28054
Z 103 46 28114
Z 104 46 28174
Z 105 46 28235
Z 106 46 28295
Z 107 46 28355
Z 108 46 28416
Z 109 46 28476
Z 110 46 28537
Z 111 46 28597
Z 112 46 28657
Z 113 46 28718
Z 114 46 28778
Z 115 46 28838
Z 116 46 28899
Z 117 46 28959
Z 118 46 29019
Z 119 46 29080
Z 120 46 29140
Z 121 46 29201
Z 122 46 29261
Z 123 46 29321
Z 124 46 29382
Z 125 46 29442
Z 126 46 29502
Z 127 46 29563
Z 128 46 29623
Z 129 46 29684
Z 130 46 29744
Z 131 46 29804
Z 132 46 29865
Z 133 46 29925
Z 134 46 29985
Z 135 46 30046
